Country Name,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2,1,3,0,0,3,4,0,1,0,0,0,0,0,1,1,0,0,1,0,3,0,5,4,4,4,2,0,2,1,3,4,8,3,8,4,4,2,8,12,18,5,10,13,9,7,7,10,7,11,24,22,14,7,11,1,22,11,9,12,11,7,3,4,11,12,7,7,13,4,9,9,3,10,14,11,11,6,9,8,8,7,11,6,6,11,1,6,11,45
Albania,0,4,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,0,1,0,0,0,3,1,1,0,1,2,1,0,1,1,2,0,1,2,1,0,0,0,0,1,2,1,2,0,0,1,0,0,1,0,0,0,1,7,1,0,1,0,0,0,2,4,1,3,1,0,1,0,1,2,0,1,1,1,0,0,1,1,0,2,2,2,2,1,0,0,0,1,0,0,3,1,0,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,2,9,1,0,0,0
Algeria,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,1,0,1,0,3,2,1,1,0,2,1,0,0,1,0,1,0,4,1,0,1,0,0,2,1,1,0,0,0,0,12,3,1,0,0,2,0,0,0,2,1,0,0,0,1,1,1,0,0,1,2,0,1,8,0,0,2,0,1,0,3,0,1,2,2,0,2,0,0,0,3,2,1,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,2
Angola,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anguilla,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,1,0,1,0,4,0,1,2,7,3,0,2,3,1,5,0,4,2,4,2,5,5,3,2,1,1,2,2,2,1,2,1,1,0,4,3,3,8,10,6,9,10,16,5,3,8,2,4,2,3,0,4,3,7,5
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,1,0,2,1,0,0,1,2,1,0,0,2,0,2,1,2,5,1,0,1,0,0,0,1,2,6,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,3,7
Argentina,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,1,0,1,2,3,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,1,0,0,1,2,2,0,2,1,4,5,8,5,4,3,3,11,4,14,19,16,13,83,22,13,14,9,18,22,17,23,11,21,16,12,8,15,8,14,13,7,4,7,15,11,10,8,13,6,12,15,15,12,8,16,25,20,11,10,7,14,17,13,14,23,16,16,16,27
Armenia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
